ID,Designator,FootprintQuantity,Quantity,Designation,Supplier and ref
1,C1,C_0805_2012Metric,1,0.1u,
2,C2,C_0805_2012Metric,1,0.1u,
3,C3,C_0805_2012Metric,1,10u,
4,C4,C_0805_2012Metric,1,10u,
5,C5,C_0805_2012Metric,1,0.1u,
6,C6,C_0805_2012Metric,1,1u,
7,C7,C_0805_2012Metric,1,10u,
8,C8,C_0805_2012Metric,1,0.1u,
9,C9,C_0805_2012Metric,1,4.7u,
10,C10,C_0805_2012Metric,1,0.1u,
11,C11,C_0805_2012Metric,1,1u,
12,C12,C_0805_2012Metric,1,10u,
13,C13,C_0805_2012Metric,1,0.1u,
14,C14,C_0805_2012Metric,1,0.1u,
15,C15,C_0805_2012Metric,1,0.1u,
16,C16,C_0805_2012Metric,1,0.1u,
17,C17,C_0805_2012Metric,1,10n,
18,C18,C_0805_2012Metric,1,0.1u,
19,C19,C_0805_2012Metric,1,1u,
20,C20,C_0805_2012Metric,1,0.1u,
21,C21,C_0805_2012Metric,1,0.1u,
22,C22,C_0805_2012Metric,1,1u,
23,F1,FUSC3226X100N,1,0ZCH0110AF2E,
24,J1,BELFUSE_SS-52400-002,1,SS-52400-002,
25,J2,JST_B2B-PH-SM4-TB,1,B2B-PH-SM4-TB,
26,J3,AMPHENOL_GSD090012SEU,1,B2B-PH-SM4-TB,
27,J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
28,J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
29,LED1,LEDC2012X120N,1,LTST-C170TBKT,
30,LED2,LEDC2012X120N,1,LTST-C170TBKT,
31,LED3,LEDC2012X120N,1,LTST-C170TBKT,
32,LED4,LEDC2012X120N,1,LTST-C170TBKT,
33,LED5,LEDC2012X120N,1,LTST-C170TBKT,
34,LED6,LEDC2012X120N,1,LTST-C170TBKT,
35,MK1,CUI_CMC-5042PF-AC,1,CMC-5042PF-AC,
36,Q1,TRANS_TEMT6000X01,1,TEMT6000X01,
37,Q2,SOT-23,1,BC817,
38,Q3,SOT-23,1,BC817,
39,R1,R_0805_2012Metric,1,10k,
40,R2,R_0805_2012Metric,1,10k,
41,R3,R_0805_2012Metric,1,5k1,
42,R4,R_0805_2012Metric,1,5k1,
43,R5,R_0805_2012Metric,1,2k,
44,R6,R_0805_2012Metric,1,20k,
45,R7,R_0805_2012Metric,1,470,
46,R8,R_0805_2012Metric,1,470,
47,R9,R_0805_2012Metric,1,470,
48,R10,R_0805_2012Metric,1,470,
49,R11,R_0805_2012Metric,1,1k,
50,R12,R_0805_2012Metric,1,22k1,
51,R13,R_0805_2012Metric,1,47k5,
52,R14,R_0805_2012Metric,1,470,
53,R15,R_0805_2012Metric,1,50,
54,R16,R_0805_2012Metric,1,50,
55,R18,R_0805_2012Metric,1,470,
56,R19,R_0805_2012Metric,1,10k,
57,R20,R_0805_2012Metric,1,50,
58,R22,R_0805_2012Metric,1,50,
59,R23,R_0805_2012Metric,1,10k,
60,R24,R_0805_2012Metric,1,4k7,
61,R25,R_0805_2012Metric,1,4k7,
62,R26,R_0805_2012Metric,1,2k,
63,R27,R_0805_2012Metric,1,1M,
64,R28,R_0805_2012Metric,1,2k,
65,R29,R_0805_2012Metric,1,1M,
66,R30,R_0805_2012Metric,1,10k,
67,R31,R_0805_2012Metric,1,100k,
68,R32,R_0805_2012Metric,1,10k,
69,R33,R_0805_2012Metric,1,10k,
70,R34,R_0805_2012Metric,1,10k,
71,S1,SW_USLPT2819DT2TR,1,Boot,
72,S2,SW_USLPT2819DT2TR,1,Reset,
73,TP1,TestPoint_Pad_D1.0mm,1,Test MOSI,
74,TP2,TestPoint_Pad_D1.0mm,1,Test MISO,
75,TP3,TestPoint_Pad_D1.0mm,1,Test SCLK,
76,TP4,TestPoint_Pad_D1.0mm,1,Test CS-SD,
77,TP5,TestPoint_Pad_D1.0mm,1,Test CS,
78,U1,QFN50P400X400X100-21N,1,MCP73871,
79,U2,PSON65P250X250X100-8N,1,BME280,
80,U3,MODULE_ESP32-C3-WROOM-02-H4,1,ESP32-C3-WROOM-02-H4,
81,U4,QFN50P400X400X100-21N,1,MCP73871,
82,U5,SOT-23-6,1,USBLC6-2SC6,
83,U6,SOIC127P790X216-8N,1,W25Q32JVSSIQ,
84,U7,SOT65P210X110-5N,1,MAX4466EXK,
85,VR1,VREG_LM1117MPX-3.3,1,LM1117MPX-3.3,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
